NPRID,NAME,FACILITY,FACILITY_TYPE,ADDRESS,CITY,STATE,ZIP,HARD ADDRESS,LATITUDE,LONGITUDE,Agency,AgencyType,OWNER,OWNER_TYPE,REMARKS,PubRermarks,url,Entry,Source,Cost,Duplicate,smooth-surface-throughout,transfer-stations-to-play-components,ramps-to-play-components,accessible-swing,sound-play-components,sight-impaired-play-components,safety-fence,single-entrance,GEOCODE-ERROR
"1,474",Rosedale Recreation Center ,,,1701 Gales St NE,Washington,DC,20009,"1701 Gales St NE, Washington, DC 20009",38.8980949,-76.9796563,Parks & Recreation,Municipal,District of Columbia,Municipal,,,http://dpr.dc.gov/page/rosedale-playground,Stiles,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"1,475",Noyes Playground,Noyes Recreation Center,,10th & Franklin,Washington,DC,20017,"10th & Franklin, Washington, DC  20017",38.8980949,-76.9796563,Parks & Recreation,Municipal,District of Columbia,Municipal,,"Previously a vacant parcel of land in the Brookland neighborhood, Noyes Playground is now a 1.1-acre park space with a “green” theme, according to city officials. The playground includes a community garden, a flat safety surface, a multi-purpose field, a shade structure, a walking path, fitness features for adults, picnic tables, barbecue grills, a community message board, an irrigated landscape, a plaza/community gathering area and game tables. The new playground is part of the Play DC initiative, a partnership between DPR and DGS to evaluate, upgrade and maintain all of the play spaces in DPR’s inventory, according to the city. ",http://dpr.dc.gov/release/mayor-gray-cut-ribbon-new-noyes-playground-0,Stiles,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Strong Reach Playground,,,103 Barr Avenue,Bowdon,GA,30108,"103 Barr Avenue Bowdon, GA 30108",38.8980949,-76.9796563,,,,,A Boundless Playground,,http://www.bowdon.net/recreation-and-culture/recreation/,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,,Miller Park,,401 Summit Street,Barrington,IL,60010,"401 Summit Street Barrington, IL 60010",38.8980949,-76.9796563,,,Barrington Park District,Municipal/Local Government,This 8-acre park includes a handicap-accessible playground area and a Scout Cabin,This 8-acre park includes a handicap-accessible playground area and a Scout Cabin,http://www.barringtonparkdistrict.org/Parks-Facilities/Miller-Park.htm,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100,ChildrenÕs Play Farm,Inglenook Park,,20936 West 12 Mile Road,Southfield,MI,48076,"20936 West 12 Mile Road Southfield, MI 48076",38.8980949,-76.9796563,,,,,"This playground . The Play Farm at Inglenook Park consists of farm-themed play equipment, including tractor bouncers, animal cutouts and an enormous playscape that has red barn top roofs throughout. The new Play Farm will be the largest playground in the city, complimenting the existing fitness trails, ball diamonds and the restored Miller Barn at the 42-acre Inglenook Park. The safety fall zones surrounding the play equipment are covered by a combination of rubber and wood fiber safety surfacing. The Play Farm exceeds federal standards for accessibility, allowing children of all abilities an opportunity to play together. Federal guidelines require that 50 percent of a playgroundÕs elevated structure be accessible. By comparison, a ""Boundless PlaygroundÓ requires that at least 70 percent of play activities serve children with physical disabilities, allowing for greater ""integrationÓ of all children.",,,Robert,Mara,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
101,Children's Play Farm,Inglenook Park,,20936 West 12 Mile Road,Southfield,MI,48076,"20936 West 12 Mile Road Southfield, MI 48076",38.8980949,-76.9796563,,,,,"This playground . The Play Farm at Inglenook Park consists of farm-themed play equipment, including tractor bouncers, animal cutouts and an enormous playscape that has red barn top roofs throughout. The new Play Farm will be the largest playground in the city, complimenting the existing fitness trails, ball diamonds and the restored Miller Barn at the 42-acre Inglenook Park. The safety fall zones surrounding the play equipment are covered by a combination of rubber and wood fiber safety surfacing. The Play Farm exceeds federal standards for accessibility, allowing children of all abilities an opportunity to play together. Federal guidelines require that 50 percent of a playgroundÕs elevated structure be accessible. By comparison, a ""Boundless PlaygroundÓ requires that at least 70 percent of play activities serve children with physical disabilities, allowing for greater ""integrationÓ of all children.","This playground consists of farm-themed play equipment, including tractor bouncers, animal cutouts and an enormous playscape that has red barn top roofs throughout.",,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
102,,Eastern Elementary School Playground,,1600 Eastern Avenue,Traverse City,MI,49686,"1600 Eastern Avenue Traverse City, MI 49686",38.8980949,-76.9796563,,,,,,,,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
103,Western UP Boundless Playground,Watersmeet Township School,,North 4720 U.S. Highway 45,Watersmeet,MI,49969,"North 4720 U.S. Highway 45 Watersmeet, MI 49969",38.8980949,-76.9796563,,,,,,,,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
104,Play 4 All,Soroptimist Park,,35700 John Street,Wayne,MI,48184,"35700 John Street Wayne, MI 48184",38.8980949,-76.9796563,,,,,,,,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
105,,MarshBank Park,,2805 Hiller Rd.,West Bloomfield,MI,48324,"2805 Hiller Rd. West Bloomfield, MI 48324",38.8980949,-76.9796563,,,,,"In addition to a ramping system, this Landscape StructuresÔ PlayBooster¨ playstructure offers unique play experiences with many sensory play panels, bridges, slides and climbers. Children of all abilities will be right in the middle of the action while visiting this inclusive play space. The playground consultant was Superior Play.","In addition to a ramping system,this playstructure offers unique play experiences with many sensory play panels, bridges, slides and climbers.",,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
106,Paradise Penninsula Playscape,Waterford Oaks County Park,,1702 Scott Lake Road,Waterford,MI,48328,"1702 Scott Lake Road Waterford, MI 48328",38.8980949,-76.9796563,,,,,"The play structure, whose theme in Michigan Landscape,  include: an ""Up North WoodsÓ cabin, simulated tree fort, sand dunes area, marsh challenge course with simulated cattails, raised sand play area and multiple climbing structures.  Colorful rubberized surfacing depict MichiganÕs Lakes and rivers.","The play structure, whose theme in Michigan Landscape,  include: an ""Up North WoodsÓ cabin, simulated tree fort, sand dunes area, marsh challenge course with simulated cattails, raised sand play area and multiple climbing structures.  Colorful rubberized surfacing depict MichiganÕs Lakes and rivers.",,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
107,Frog Hollow Boundless Playground,Metropolitan Hospital Health Village,,2050 Metro Court,Wyoming,MI,49509,"2050 Metro Court Wyoming, MI 49509",38.8980949,-76.9796563,,,,,"The park includes telescopes, musical instruments, art, poop-stations for dogs, crazy carnival-mirrors and more!  Close to Metro Health Hospital, Hyatt Place Hotel and there is a Biggby coffee out front so Mom or Dad can put on that caffeine buzz and transform into super-parent again.","The park includes telescopes, musical instruments, art, poop-stations for dogs, crazy carnival-mirrors and more.",,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
108,Shane's Inspiration,Griffith Park,,4800 Crystal Springs Road,Los Angeles,CA,90027,"4800 Crystal Springs Road Los Angeles, CA 90027",38.8980949,-76.9796563,,,City of Los Angeles,Municipal,"Features An airplane: Cruise down the accessible ""jet wayÓ and take off on this jetliner. Pilot and co-pilot can manage the controls in the cockpit while checking their compass for direction; The Lucky Star Chaser, a space shuttle that gives children of all abilities a chance to adventure into space; Accessible Slides; and RonaldÕs Ship of Dreams provides hours of imaginative play. Enter through the accessible ""gangwayÓ and explore the wheelhouse, complete with a talk tube radio system.","This playground features an airplane and  a space shuttle that gives children of all abilities a chance to adventure into space, as well as accessible slides and RonaldÕs Ship of Dreams an accessible ""gangwayÓ  wheelhouse and talk tube radio system.",,Robert,Shanes/Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
109,Aidan's Place,Westwood Park,,1350 South Sepulveda Boulevard,Los Angeles,CA,90024,"1350 South Sepulveda Boulevard Los Angeles, CA 90024",38.8980949,-76.9796563,,,City of Los Angeles,Municipal,"Opened in 2001. One of the features in the Airplane where young pilots and co-pilots will enjoy a fully-accessible cockpit loaded with features. They can communicate with the Control Tower via a talk tube radio and plan their route on the navigation panels. There are also accessible slides, sand and water play.  This is a ShaneÕs Inspiration Playground.  The equipment is from Landscape Structures and the playground consultant on this project was RecWest Outdoor Products.","This playground features the  Airplane where young pilots and co-pilots will enjoy a fully-accessible cockpit loaded with features. They can communicate with the Control Tower via a talk tube radio and plan their route on the navigation panels. There are also accessible slides, sand and water play.",,Robert,Shanes/Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,Bloom Playground,Belvidere Park,,1006 West Lincoln Avenue,Belvidere,IL,61008,"1006 West Lincoln Avenue Belvidere, IL 61008",38.8980949,-76.9796563,,,,,,,,Robert,Mara,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
