Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30
1,Strong Reach Playground,,,103 Barr Avenue,Bowdon,GA,30108,"103 Barr Avenue Bowdon, GA 30108",,,,,,,A Boundless Playground,,http://www.bowdon.net/recreation-and-culture/recreation/,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,,Miller Park,,401 Summit Street,Barrington,IL,60010,"401 Summit Street Barrington, IL 60010",,,,,Barrington Park District,Municipal/Local Government,This 8-acre park includes a handicap-accessible playground area and a Scout Cabin,This 8-acre park includes a handicap-accessible playground area and a Scout Cabin,http://www.barringtonparkdistrict.org/Parks-Facilities/Miller-Park.htm,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100,Children's Play Farm,Inglenook Park,,20936 West 12 Mile Road,Southfield,MI,48076,"20936 West 12 Mile Road Southfield, MI 48076",,,,,,,"This playground . The Play Farm at Inglenook Park consists of farm-themed play equipment, including tractor bouncers, animal cutouts and an enormous playscape that has red barn top roofs throughout. The new Play Farm will be the largest playground in the city, complimenting the existing fitness trails, ball diamonds and the restored Miller Barn at the 42-acre Inglenook Park. The safety fall zones surrounding the play equipment are covered by a combination of rubber and wood fiber safety surfacing. The Play Farm exceeds federal standards for accessibility, allowing children of all abilities an opportunity to play together. Federal guidelines require that 50 percent of a playgroundÕs elevated structure be accessible. By comparison, a ""Boundless PlaygroundÓ requires that at least 70 percent of play activities serve children with physical disabilities, allowing for greater ""integrationÓ of all children.",,,Robert,Mara,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1000,Morningside Playground,,,W 117 ST & MORNINGSIDE AVE,New York,NY,10026,"W 117 ST & MORNINGSIDE AVE New York, NY 10026",40.8069,-73.9578,,,City of New York,Municipal/Local Government,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1001,Morningside Playground,,,"Morningside Ave, W 123 & W 124 Sts",New York,NY,10027,"Morningside Ave, W 123 & W 124 Sts New York, NY 10027",40.8105,-73.9556,,,City of New York,Municipal/Local Government,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1002,Morris Garden,,,"Morris Ave, E.181st St,creston Ave",Bronx,NY,10453,"Morris Ave, E.181st St,creston Ave Bronx, NY 10453",40.8546,-73.904,,,City of New York,Municipal/Local Government,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1003,Morton Playground,,,MORTON PL & UNIVERSITY AVE,Bronx,NY,10453,"MORTON PL & UNIVERSITY AVE Bronx, NY 10453",40.8512,-73.9143,,,City of New York,Municipal/Local Government,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1004,Mother Cabrini Park,,,President Street Bet Van Brunt & Columbia Streets,Brooklyn,NY,11231,"President Street Bet Van Brunt & Columbia Streets Brooklyn, NY 11231",40.6843,-74.0048,,,City of New York,Municipal/Local Government,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1005,Mott Playground,,,"Morris To College Aves, E 166-e 167 Sts",Bronx,NY,10456,"Morris To College Aves, E 166-e 167 Sts Bronx, NY 10456",40.8314,-73.9147,,,City of New York,Municipal/Local Government,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1006,MS 137Q,,,"109-15, 98th Street, Queens, NY 11417",Ozone Park,NY,11417,"109-15, 98th Street, Queens, NY 11417 Ozone Park, NY 11417",40.6781,-73.8392,,,City of New York,Municipal/Local Government,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1007,MS 53Q,,,"10-45 Nameoke Street, Queens, NY 11691",Far Rockaway,NY,11691,"10-45 Nameoke Street, Queens, NY 11691 Far Rockaway, NY 11691",40.6045,-73.75,,,City of New York,Municipal/Local Government,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1008,MS 587K,,,"790 East New York Ave., Brooklyn, NY 11203",Brooklyn,NY,11203,"790 East New York Ave., Brooklyn, NY 11203 Brooklyn, NY 11203",40.6621,-73.9356,,,City of New York,Municipal/Local Government,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1009,Mt Prospect Park,,,EASTERN PKWY BETWEEN WASHINGTON AVE & FLATBUSH AVE,Brooklyn,NY,11238,"EASTERN PKWY BETWEEN WASHINGTON AVE & FLATBUSH AVE Brooklyn, NY 11238",40.672,-73.966,,,City of New York,Municipal/Local Government,,Level 3: Accessible Playgrounds with Universally Accessible Swings,,Stiles,City Data Portal,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
